店名,緯度,経度,混雑度,コラボ,色
イオンモールナゴヤドーム前,35.1885,136.9490,満席,【公式】1000円OFFクーポン配布中！,darkpurple
カフェ乃木（仮）,35.1840,136.9450,待ち10分,ステッカーあり,purple
喫茶サヨナラ（仮）,35.1865,136.9520,満席,コラボドリンクあり,darkpurple
純喫茶インフルエンサー（仮）,35.1820,136.9470,空席あり,電源貸出・長居OK,blue
コメダ珈琲店 大曽根店（仮）,35.1915,136.9360,待ち30分,通常営業,purple
ドーム前矢田駅 休憩スペース,35.1900,136.9470,満席,冷房完備,darkpurple
〇〇公園（日陰ベンチ）,35.1800,136.9500,空席あり,穴場スポット,blue
隠れ家カフェ シンクロニシティ,35.1780,136.9420,空席あり,ポスター掲載店,blue
ファミレス 帰り道は遠回りしたくなる,35.1750,136.9550,空席あり,ドリンクバーあり,blue
ドーム南 市営ダンスホール,35.1810,136.9490,空席あり,【市公認】無料開放中,blue
